k,p
6.2002272574592725,0.001
5.935834517583841,0.001
6.371792572363575,0.001
6.958106971435305,0.001
6.1228576492890765,0.001
6.106481322890109,0.001
6.102918589931341,0.001
6.194819218682783,0.001
6.541291348104388,0.001
5.751683107011237,0.001
5.019700338415437,0.001
6.02132812562978,0.001
5.479760803708261,0.001
6.535920124703583,0.001
7.205118767880332,0.001
5.549837888352578,0.001
7.044229982964052,0.001
4.526924913548035,0.001
5.7248397661214945,0.001
5.570669790294632,0.001
4.906896707341062,0.001
5.417791842595861,0.001
7.287161526001592,0.001
6.148694341994953,0.001
5.3453740462004475,0.001
6.741524354991518,0.001
6.7022234504912985,0.001
7.072355391771638,0.001
5.738784829395943,0.001
4.826893215220101,0.001
6.691449808090768,0.001
5.801825596104397,0.001
6.139218810723825,0.001
5.677058568445823,0.001
6.021344451051964,0.001
5.491857557751539,0.001
4.928861630969412,0.001
5.869109310893675,0.001
5.409934535489756,0.001
5.36608395312191,0.001
6.660610776106465,0.001
3.174561425696743,0.001
3.59262242534351,0.001
5.934781929537564,0.001
