Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	freqParameter.s:level1.1	freqParameter.s:level1.2	freqParameter.s:level2.1	freqParameter.s:level2.2	freqParameter.s:level3.1	freqParameter.s:level3.2	freqParameter.s:level4.1	freqParameter.s:level4.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
30	-1973.9561092693064	-1924.8330906545068	-49.12301861479949	-263.3542871812199	-1021.4688735294047	-562.0546265288657	-77.95530341501653	14.30981834660275	0.7312275154096887	1.0506363311222866	1.1209028745161953	0.7129152956894211	0.5550020479374055	0.44499795206259113	0.7000613518142834	0.2999386481857164	0.852341290300793	0.14765870969920805	0.936590579684144	0.0634094203158547	0.05141647848771929	-45.23119831668887	0.22570170483733962	0.38389582671238115	0.1973133800261188	16.990571225023327	1.0	-3.891820298110627	5.3000000000002245	
31	-1973.9561092693064	-1924.8330906545068	-49.12301861479949	-263.3542871812199	-1021.4688735294047	-562.0546265288657	-77.95530341501653	14.30981834660275	0.7312275154096887	1.0506363311222866	1.1209028745161953	0.7129152956894211	0.5550020479374055	0.44499795206259113	0.7000613518142834	0.2999386481857164	0.852341290300793	0.14765870969920805	0.936590579684144	0.0634094203158547	0.05141647848771929	-45.23119831668887	0.22570170483733962	0.38389582671238115	0.1973133800261188	16.990571225023327	1.0	-3.891820298110627	5.3000000000002245	
32	-1975.1466099125007	-1924.7468635492053	-50.39974636329541	-261.6447992881024	-1026.3674076352129	-559.6122390687553	-77.12241755713475	18.16116876090333	0.48485026088479644	1.1229830675215131	1.1420648647729001	0.7097333086577703	0.5394736253354266	0.46052637466456997	0.6589494407111902	0.3410505592888099	0.8610770546919416	0.13892294530805926	0.9401392112447235	0.059860788755275576	0.046452451906840844	-46.507926065184776	0.17334986711457623	0.5875941401680683	0.06007417534942678	21.833079234737557	0.0	-3.891820298110627	5.300000000000228	
33	-1975.8918044330642	-1924.0763673477807	-51.81543708528358	-259.3798899132677	-1024.601976412685	-561.2167309836653	-78.8777700381626	19.48866612682563	0.8716716134335619	1.067767212495604	1.0081799216820984	0.7602908400095574	0.578510300583526	0.42148969941647046	0.6603563285945662	0.3396436714054333	0.8520254165466291	0.14797458345337208	0.9289689447839468	0.07103105521605156	0.04826853050866913	-47.92361678717295	0.3567779603229071	0.03963025431516838	0.6077881599222105	20.98981458725415	1.0	-3.891820298110627	5.300000000000232	
34	-1975.8918044330642	-1924.0763673477807	-51.81543708528358	-259.3798899132677	-1024.601976412685	-561.2167309836653	-78.8777700381626	19.48866612682563	0.8716716134335619	1.067767212495604	1.0081799216820984	0.7602908400095574	0.578510300583526	0.42148969941647046	0.6603563285945662	0.3396436714054333	0.8520254165466291	0.14797458345337208	0.9289689447839468	0.07103105521605156	0.04826853050866913	-47.92361678717295	0.3567779603229071	0.03963025431516838	0.6077881599222105	20.98981458725415	1.0	-3.891820298110627	5.300000000000232	
35	-1964.0712361941899	-1923.6494337571094	-40.42180243708043	-257.4149256987066	-1026.0117426580769	-560.6294711281504	-79.59329427217568	11.750749260688275	0.6109256897180283	1.0482696565609193	1.2375478558398598	0.4616085644553984	0.5565738297503405	0.44342617024965675	0.7168135945555214	0.2831864054444785	0.8606245918802297	0.13937540811977137	0.9143629279526477	0.0856370720473513	0.060764301701220894	-36.52998213896981	0.254753084292752	0.6665984932993005	0.01184709969796437	12.18386401154448	1.0	-3.891820298110627	5.30000000000023	
36	-1968.4986084529235	-1923.1731556725179	-45.325452780405556	-250.9595627551282	-1034.0707948620716	-559.025111141607	-79.11768691371101	13.243176165592258	0.6426167933974529	1.156154499697017	1.0110975546052123	0.6688803555797037	0.5706779516308998	0.42932204836909676	0.6686341785459448	0.33136582145405535	0.8386543910140899	0.16134560898591105	0.8657172388208012	0.134282761179198	0.0575887838427235	-41.43363248229493	0.3897358634328175	0.07504574916647688	0.6149373145433434	13.930091929523094	1.0	-3.891820298110627	5.30000000000023	
37	-1964.1366066562628	-1923.1492698914926	-40.98733676477022	-262.0710499793	-1020.694998461002	-563.3146746513418	-77.06854679984862	13.79418204666402	0.5702924624577825	1.070981808885017	1.1676371259480667	0.761818754659523	0.5767089147212306	0.4232910852787667	0.7247691827748598	0.2752308172251396	0.8139981527084971	0.186001847291504	0.9205921511198306	0.0794078488801684	0.06126927966640547	-37.09551646665959	0.2849717617912149	0.5014858823913751	0.0435383083398947	15.509213320978523	1.0	-3.891820298110627	5.300000000000232	
38	-1964.1366066562628	-1923.1492698914926	-40.98733676477022	-262.0710499793	-1020.694998461002	-563.3146746513418	-77.06854679984862	13.79418204666402	0.5702924624577825	1.070981808885017	1.1676371259480667	0.761818754659523	0.5767089147212306	0.4232910852787667	0.7247691827748598	0.2752308172251396	0.8139981527084971	0.186001847291504	0.9205921511198306	0.0794078488801684	0.06126927966640547	-37.09551646665959	0.2849717617912149	0.5014858823913751	0.0435383083398947	15.509213320978523	1.0	-3.891820298110627	5.300000000000232	
39	-1964.1366066562628	-1923.1492698914926	-40.98733676477022	-262.0710499793	-1020.694998461002	-563.3146746513418	-77.06854679984862	13.79418204666402	0.5702924624577825	1.070981808885017	1.1676371259480667	0.761818754659523	0.5767089147212306	0.4232910852787667	0.7247691827748598	0.2752308172251396	0.8139981527084971	0.186001847291504	0.9205921511198306	0.0794078488801684	0.06126927966640547	-37.09551646665959	0.2849717617912149	0.5014858823913751	0.0435383083398947	15.509213320978523	1.0	-3.891820298110627	5.300000000000232	
40	-1964.1366066562628	-1923.1492698914926	-40.98733676477022	-262.0710499793	-1020.694998461002	-563.3146746513418	-77.06854679984862	13.79418204666402	0.5702924624577825	1.070981808885017	1.1676371259480667	0.761818754659523	0.5767089147212306	0.4232910852787667	0.7247691827748598	0.2752308172251396	0.8139981527084971	0.186001847291504	0.9205921511198306	0.0794078488801684	0.06126927966640547	-37.09551646665959	0.2849717617912149	0.5014858823913751	0.0435383083398947	15.509213320978523	1.0	-3.891820298110627	5.300000000000232	
41	-1964.1366066562628	-1923.1492698914926	-40.98733676477022	-262.0710499793	-1020.694998461002	-563.3146746513418	-77.06854679984862	13.79418204666402	0.5702924624577825	1.070981808885017	1.1676371259480667	0.761818754659523	0.5767089147212306	0.4232910852787667	0.7247691827748598	0.2752308172251396	0.8139981527084971	0.186001847291504	0.9205921511198306	0.0794078488801684	0.06126927966640547	-37.09551646665959	0.2849717617912149	0.5014858823913751	0.0435383083398947	15.509213320978523	1.0	-3.891820298110627	5.300000000000232	
42	-1968.2871356855787	-1922.7127178079277	-45.5744178776511	-251.9037202704599	-1035.9287616926817	-556.8826673103665	-77.99756853441959	18.277478237690122	0.6752154017933871	0.9957210557691217	1.2646771111647177	0.5716915991673229	0.5645735168842047	0.4354264831157926	0.7513780188285107	0.24862198117148873	0.848903455295907	0.15109654470409423	0.9286589340712851	0.07134106592871417	0.06372942167027916	-41.68259757954048	0.3367480719929285	0.09620615196295292	0.18395148388623175	21.609691863953536	1.0	-3.891820298110627	5.300000000000239	
43	-1966.989259957655	-1921.9639006143957	-45.02535934325911	-258.99678209986587	-1030.3590109293511	-556.779427729355	-75.82867985582378	17.860063386223796	0.5966453123734203	1.0519572689523402	1.1850890764585467	0.7520024174497172	0.5524844364544166	0.4475155635455807	0.7519931675031982	0.24800683249680122	0.8441438761187327	0.15585612388126835	0.9065916758196784	0.09340832418032052	0.05972352982010955	-41.13353904514848	0.14040933830939445	0.7045533403156751	0.011217900174988055	26.10619955997156	1.0	-3.891820298110627	5.300000000000239	
44	-1966.989259957655	-1921.9639006143957	-45.02535934325911	-258.99678209986587	-1030.3590109293511	-556.779427729355	-75.82867985582378	17.860063386223796	0.5966453123734203	1.0519572689523402	1.1850890764585467	0.7520024174497172	0.5524844364544166	0.4475155635455807	0.7519931675031982	0.24800683249680122	0.8441438761187327	0.15585612388126835	0.9065916758196784	0.09340832418032052	0.05972352982010955	-41.13353904514848	0.14040933830939445	0.7045533403156751	0.011217900174988055	26.10619955997156	1.0	-3.891820298110627	5.300000000000239	
45	-1973.6899733065295	-1921.8431089819721	-51.846864324557316	-255.81679657686604	-1026.7633697603133	-562.5772485967672	-76.68569404802594	17.638334268859325	0.7020046930785534	0.9778283451977126	1.1877777847551798	1.054282887745819	0.5217427310004497	0.47825726899954735	0.7429994817809656	0.25700051821903375	0.8566080217087519	0.14339197829124886	0.9187554572627226	0.08124454273727631	0.04314233090797593	-47.955044026446686	0.1738582174049057	0.5135113477360713	0.17301642932087927	19.276335613403973	1.0	-3.891820298110627	5.300000000000239	
46	-1973.6899733065295	-1921.8431089819721	-51.846864324557316	-255.81679657686604	-1026.7633697603133	-562.5772485967672	-76.68569404802594	17.638334268859325	0.7020046930785534	0.9778283451977126	1.1877777847551798	1.054282887745819	0.5217427310004497	0.47825726899954735	0.7429994817809656	0.25700051821903375	0.8566080217087519	0.14339197829124886	0.9187554572627226	0.08124454273727631	0.04314233090797593	-47.955044026446686	0.1738582174049057	0.5135113477360713	0.17301642932087927	19.276335613403973	1.0	-3.891820298110627	5.300000000000239	
47	-1973.6899733065295	-1921.8431089819721	-51.846864324557316	-255.81679657686604	-1026.7633697603133	-562.5772485967672	-76.68569404802594	17.638334268859325	0.7020046930785534	0.9778283451977126	1.1877777847551798	1.054282887745819	0.5217427310004497	0.47825726899954735	0.7429994817809656	0.25700051821903375	0.8566080217087519	0.14339197829124886	0.9187554572627226	0.08124454273727631	0.04314233090797593	-47.955044026446686	0.1738582174049057	0.5135113477360713	0.17301642932087927	19.276335613403973	1.0	-3.891820298110627	5.300000000000239	
48	-1972.7564945780377	-1921.792475476622	-50.9640191014156	-256.88811101923994	-1025.7125850840848	-559.9480354853177	-79.24374388797936	15.657333304170212	0.7161079021421999	1.0104719904961028	1.2239250810586084	0.5456122664304444	0.5670890670742844	0.4329109329257129	0.6955770707646142	0.30442292923538533	0.8051599265148995	0.19484007348510168	0.8940542446701949	0.10594575532980421	0.05151498744158024	-47.07219880330498	0.3547669119567709	0.05315299363216263	0.03981724770227048	18.261266853427948	1.0	-3.891820298110627	5.300000000000233	
