Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	bcov_alpha.s:level1	bcov_s.s:level1	frequencies.s:level1.1	frequencies.s:level1.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
37	-1967.912631496851	-1912.8790742702422	-55.03355722660879	-260.5014530479702	-1008.6511404648638	-562.1151390776314	-81.61134167977653	28.39592941357076	0.47758514310918543	0.9127971944197241	1.465253744971406	0.6788136397180871	0.026363678814453843	0.18424663735987343	0.7756623496960849	0.22433765030391611	0.07229511602176523	-49.646209807636254	0.12751199162695084	0.742825133238661	0.007932842536029121	33.950357974220616	0.0	-3.891820298110627	5.300000000000328	
38	-1995.1767214653603	-1912.6586719005797	-82.51804956478045	-259.97836222407483	-1016.119317685286	-557.6597691248364	-78.90122286638247	79.94716156805765	0.3963712036488307	0.8841943887368996	1.50477763480697	0.9456338318515624	0.017489518634305236	0.18081113807496227	0.8026443242749912	0.19735567572500975	0.033915451320787555	-77.14892681425928	0.015118649968276405	0.8719985461133021	0.0065239489537431425	107.1073392453655	0.0	-3.891820298110627	5.300000000000296	
39	-1974.0007272699959	-1912.1651690763188	-61.83555819367703	-260.63274985291645	-1011.1477601168285	-560.787034353624	-79.59762475294977	47.148970380286286	0.5484385754158164	1.0727626008634201	1.1715425342971286	0.6922420815187885	0.008212430055677952	0.16728441682180412	0.7545763998415042	0.24542360015849676	0.06299108428219663	-56.54165782760589	0.026165027464282994	0.9264994656864358	0.017035479728495728	58.178152488249644	0.0	-3.891820298110627	5.300000000000324	
40	-1974.0007272699959	-1912.1651690763188	-61.83555819367703	-260.63274985291645	-1011.1477601168285	-560.787034353624	-79.59762475294977	47.148970380286286	0.5484385754158164	1.0727626008634201	1.1715425342971286	0.6922420815187885	0.008212430055677952	0.16728441682180412	0.7545763998415042	0.24542360015849676	0.06299108428219663	-56.54165782760589	0.026165027464282994	0.9264994656864358	0.017035479728495728	58.178152488249644	0.0	-3.891820298110627	5.300000000000324	
41	-1974.0007272699959	-1912.1651690763188	-61.83555819367703	-260.63274985291645	-1011.1477601168285	-560.787034353624	-79.59762475294977	47.148970380286286	0.5484385754158164	1.0727626008634201	1.1715425342971286	0.6922420815187885	0.008212430055677952	0.16728441682180412	0.7545763998415042	0.24542360015849676	0.06299108428219663	-56.54165782760589	0.026165027464282994	0.9264994656864358	0.017035479728495728	58.178152488249644	0.0	-3.891820298110627	5.300000000000324	
42	-1975.8622966099247	-1912.069021935894	-63.79327467403078	-261.0838494527287	-1007.5421261469402	-561.7162194417771	-81.72682689444802	43.579225178113674	0.4668956739714486	0.890441698206627	1.4671235275721544	0.8881778439593977	0.012648765016976055	0.21783737049377433	0.7898252300425097	0.2101747699574915	0.05588865700200062	-58.24346835959811	0.02904814144743336	0.9041422539523153	0.043595489450210315	56.181761069806086	1.0	-3.891820298110627	5.300000000000331	
43	-1972.7812067512048	-1911.770478104079	-61.01072864712569	-254.9340419034395	-1013.7352513327504	-562.1394250266671	-80.96175984122223	76.85149225372828	0.4722878838172868	0.9930424439832245	1.3501113656039285	0.6329591521198752	0.034093285498934346	0.1819916186876724	0.7692948484698865	0.23070515153011462	0.05736800007720567	-55.6353056433706	0.022526122785899907	0.9472868539906851	0.0013263516843022005	98.29804234758011	0.0	-3.891820298110627	5.300000000000352	
44	-1972.7812067512048	-1911.770478104079	-61.01072864712569	-254.9340419034395	-1013.7352513327504	-562.1394250266671	-80.96175984122223	76.85149225372828	0.4722878838172868	0.9930424439832245	1.3501113656039285	0.6329591521198752	0.034093285498934346	0.1819916186876724	0.7692948484698865	0.23070515153011462	0.05736800007720567	-55.6353056433706	0.022526122785899907	0.9472868539906851	0.0013263516843022005	98.29804234758011	0.0	-3.891820298110627	5.300000000000352	
45	-1974.5080348700524	-1911.6823140498348	-62.82572082021757	-259.08660875536464	-1010.8700331555928	-560.3833972811615	-81.34227485771599	37.16100669176915	0.42885528907016385	0.8344322729355862	1.5260875847272413	1.1560666577922645	0.019275418451859226	0.1946476402228704	0.7862848415204241	0.213715158479577	0.0658528188206701	-57.38516341415412	0.15317669280393384	0.2931728644937772	0.0633155627617183	46.62783802642599	1.0	-3.891820298110627	5.300000000000338	
46	-1983.2509705482344	-1911.6711286143884	-71.57984193384607	-263.2112423840609	-1004.4535206520312	-562.5073195365222	-81.49904604177408	38.73048634501374	0.5480878371597103	0.9894600531295378	1.3504578984739952	0.4401795692493114	0.007137912731566773	0.20575025583526907	0.7855137011521279	0.21448629884787326	0.04695981896897038	-66.08547574064852	0.14312258396209349	0.19878305986873626	0.26990218862347864	40.23126944936759	0.0	-3.891820298110627	5.300000000000338	
