Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	ucldMean.c:clock	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
38	-2000.2918151324388	-1930.7844145940735	-69.50740053836529	-1930.7844145940735	16.997616887371727	1.0	0.022599735067039984	0.2438072943638283	0.7506932926785396	0.2493067073214585	0.046552043300434685	0.9281333414588545	0.03703617555680045	0.0028004154112708903	1.1942751405287746	-61.47313389410427	0.18453200743836218	0.03674212875728628	0.5714596328560629	19.485765377756156	1.0	-3.891820298110627	5.30000000000034	
39	-2000.2918151324388	-1930.7844145940735	-69.50740053836529	-1930.7844145940735	16.997616887371727	1.0	0.022599735067039984	0.2438072943638283	0.7506932926785396	0.2493067073214585	0.046552043300434685	0.9281333414588545	0.03703617555680045	0.0028004154112708903	1.1942751405287746	-61.47313389410427	0.18453200743836218	0.03674212875728628	0.5714596328560629	19.485765377756156	1.0	-3.891820298110627	5.30000000000034	
40	-1988.633966330905	-1930.7271352236942	-57.906831107210905	-1930.7271352236942	13.061385299938705	1.0	0.020213324773730373	0.16258419509444905	0.7828844762962598	0.2171155237037383	0.07108421197117336	0.9525625211124029	0.0805583071266994	0.005706910959507749	1.1077451684712536	-50.189680986984285	0.2460194293400659	0.039891851437469185	0.45828456575670606	13.60957806195006	1.0	-3.891820298110627	5.300000000000342	
41	-1988.633966330905	-1930.7271352236942	-57.906831107210905	-1930.7271352236942	13.061385299938705	1.0	0.020213324773730373	0.16258419509444905	0.7828844762962598	0.2171155237037383	0.07108421197117336	0.9525625211124029	0.0805583071266994	0.005706910959507749	1.1077451684712536	-50.189680986984285	0.2460194293400659	0.039891851437469185	0.45828456575670606	13.60957806195006	1.0	-3.891820298110627	5.300000000000342	
42	-1988.633966330905	-1930.7271352236942	-57.906831107210905	-1930.7271352236942	13.061385299938705	1.0	0.020213324773730373	0.16258419509444905	0.7828844762962598	0.2171155237037383	0.07108421197117336	0.9525625211124029	0.0805583071266994	0.005706910959507749	1.1077451684712536	-50.189680986984285	0.2460194293400659	0.039891851437469185	0.45828456575670606	13.60957806195006	1.0	-3.891820298110627	5.300000000000342	
43	-1999.626193014262	-1930.2874368454432	-69.3387561688189	-1930.2874368454432	16.34584002970354	1.0	0.008417380027057024	0.14593799359209728	0.7730867451302997	0.2269132548696981	0.05021097786825564	1.0762301803582748	0.05017520042517647	0.005060785501061445	1.3663991050289905	-61.34586380595089	0.22358716979506646	0.22885199769559045	0.17442141627824756	29.88297804870894	1.0	-3.891820298110627	5.300000000000345	
44	-1989.4436116901131	-1929.8883751468793	-59.555236543233875	-1929.8883751468793	17.202339360329955	1.0	0.06785701504001236	0.14788293129556815	0.7490800080606012	0.25091999193939685	0.05178559287696084	0.7749375960041165	0.0670066911432764	0.0028545158698768075	0.9031583414282085	-52.48971554319305	0.2035463962256512	0.40052832056974463	0.11815782107271747	29.302034807544608	1.0	-3.891820298110627	5.300000000000349	
45	-1988.904777788935	-1928.8036918436787	-60.10108594525627	-1928.8036918436787	12.176408556255453	1.0	0.013174992389461609	0.19783684912434915	0.7679126580560112	0.2320873419439865	0.12455927993625444	1.2048973314666869	0.08901114513484347	0.013794697070430349	1.448018095723139	-51.425049701424015	0.1539766425496055	0.4188861736284521	0.04795156923755163	14.646409673850734	1.0	-3.891820298110627	5.300000000000351	
46	-1934.8192951726573	-1928.0721599106055	-6.747135262051952	-1928.0721599106055	5.5588103081863345	1.0	0.018810574478666284	0.20494653205218005	0.7621985810430569	0.23780141895694096	0.36028530504831463	1.0364753229077293	0.40261287860921025	0.3705535216531041	1.1615029146494176	1.4528205544800699	0.6986489747593064	0.7809163871740843	0.0033180245613759493	9.296427044580174	0.0	-3.891820298110627	5.300000000000346	
47	-1981.2993231012533	-1927.9185541007157	-53.38076900053768	-1927.9185541007157	16.094001147479627	1.0	0.012337453955503426	0.2797370577144791	0.7604152079282936	0.23958479207170436	0.1020829451291198	1.0119586250347798	0.07756083976869796	0.011193921025757192	1.189936333982291	-44.95300599385575	0.37541362820773927	0.022397495443078685	0.30730179424405574	17.3131504601028	1.0	-3.891820298110627	5.300000000000351	
48	-1945.4133671670018	-1927.9087286906029	-17.504638476398846	-1927.9087286906029	5.300000000000348	1.0	0.03882397187978257	0.17472077699106234	0.7793252998969534	0.22067470010304457	0.30403914886353556	0.8977513686931583	0.3401876630404313	0.0804319613448604	0.862433335996354	-9.888687965159303	1.0650455157106529	0.1561795999744951	0.2721659126382254	5.8662706169096905	1.0	-3.891820298110627	5.300000000000348	
49	-1945.4133671670018	-1927.9087286906029	-17.504638476398846	-1927.9087286906029	5.300000000000348	1.0	0.03882397187978257	0.17472077699106234	0.7793252998969534	0.22067470010304457	0.30403914886353556	0.8977513686931583	0.3401876630404313	0.0804319613448604	0.862433335996354	-9.888687965159303	1.0650455157106529	0.1561795999744951	0.2721659126382254	5.8662706169096905	1.0	-3.891820298110627	5.300000000000348	
50	-1975.1464287440706	-1927.4778691981976	-47.668559545873066	-1927.4778691981976	7.697162240067408	1.0	0.02320732604847727	0.20231083759466628	0.7460150950202019	0.25398490497979614	0.14415850629209606	1.0630692847739256	0.1260430661987084	0.012753190910722429	0.9858305621827393	-39.39986401678305	0.32975185520054623	0.55700914602034	0.11838167239780427	18.00411536627294	0.0	-3.891820298110627	5.300000000000348	
51	-1967.6291418556484	-1926.5100776837373	-41.11906417191115	-1926.5100776837373	9.950608151826565	1.0	0.03679265476558579	0.269811636818554	0.7547573119143186	0.24524268808567912	0.14038065119334772	1.0614732030869989	0.1253496390216907	0.011001002816906188	0.8739373100374601	-32.574966819188326	0.5034193758082743	0.40026639369099076	0.07223010630519719	10.74290164800306	1.0	-3.891820298110627	5.300000000000352	
52	-1952.4936480072931	-1924.9723372472752	-27.521310760017986	-1924.9723372472752	7.329651358539985	1.0	0.012787568504683957	0.24487283577040822	0.7514969400230218	0.2485030599769767	0.31741461587736347	1.2878723451860232	0.13305380921894827	0.18977871010593145	1.653291355316001	-18.390009110507343	0.45130609882169087	0.7968981643495907	0.015069635247817884	7.476361764156048	1.0	-3.891820298110627	5.300000000000357	
